#
# TOTAL DE REGISTROS POR TABELA - VDB FINANCEIRO
# Gerado em: 2025-07-30 (até 20250729)
#

WD_SIORG_N11                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N11_EXERCICIO                       = 43.153
WD_SIORG_N12                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N12_EXERCICIO                       = 9.821
WD_SIORG_N13                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N13_EXERCICIO                       = 1.812
WD_SIORG_N14                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N14_EXERCICIO                       = 614
WD_SIORG_N15                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N15_EXERCICIO                       = 71
WD_SIORG_N16                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N16_EXERCICIO                       = 52
WD_SIORG_N16_EXERCICIO_TESTE                 = 48
WD_SIORG_N17                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N17_EXERCICIO                       = 49
WD_SIORG_N18                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N18_EXERCICIO                       = 49
WD_SIORG_N19                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N19_EXERCICIO                       = 49
WD_SIORG_N20                                 = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SIORG_N20_EXERCICIO                       = 49
WD_SISTEMA_ORIGEM_DOC_HABIL                  = 112
WD_SITUACAO_DIEX                             = 10
WD_SITUACAO_DOC                              = 101
WD_SITUACAO_DOCUMENTO_FINA_TV                = 5
WD_SITUACAO_FUNC_VINC_SERV                   = 112
WD_SITUACAO_ICC                              = 42.766
WD_SITUACAO_RFB_ENTI                         = 61
WD_SITUACAO_TV                               = 12
WD_SITUACAO_VINC_SERV                        = 100
WD_ST_UPAG_SIAPE                             = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_SUBACAO_PI                                = 1.296
WD_SUBALINEA2_NARE                           = 2.115
WD_SUBCONTA                                  = 6
WD_SUBFUNCAO_PT                              = 223
WD_SUBGRUPO_CCON                             = 243
WD_SUBGRUPO_EXERCICIO_CCON                   = 3.514
WD_SUBGRUPO_RUBRICA                          = 5
WD_SUBNATUREZA_JURIDICA_SIORG                = 9
WD_SUBNIVEL_FUNCAO                           = 130.576
WD_SUBORGAO                                  = 419
WD_SUBORGAO_EXERCICIO                        = 6.431
WD_SUBORGAO_UG                               = 54.134
WD_SUBORGAO_UG_EXERCICIO                     = 780.606
WD_SUBTITULO_CCON                            = 2.416
WD_SUBTITULO_EXERCICIO_CCON                  = 32.725
WD_SUPERAVIT_FINA_EVENTO                     = 6
WD_TAXA_CAMBIO                               = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_TAXA_CAMBIO_MENSAL                        = 8.106
WD_TEMATICA_PO                               = 4
WD_TEMA_ITEM                                 = 8
WD_TEMA_ITEM_INFORMACAO                      = 133
WD_TIPO_BEM                                  = 13
WD_TIPO_RECEITA2_NARE                        = 13
WD_TIPO_REQUISICAO                           = 7
WD_TITULO_CCON                               = 877
WD_TITULO_EXERCICIO_CCON                     = 12.358
WD_TP_ADMIN_ORGAO                            = 16
WD_TP_APROPRIACAO_PO                         = 4
WD_TP_ARRECADACAO                            = 6
WD_TP_CCOR                                   = 110
WD_TP_COMPROMISSO                            = 7
WD_TP_COMPROMISSO_OB                         = 6
WD_TP_CONTA_DOBA                             = 10
WD_TP_CONTRAGARANTIA_DIEX                    = 6
WD_TP_CONTRATO_DIEX                          = 10
WD_TP_CORRECAO_PI                            = 6
WD_TP_CREDITO                                = 20
WD_TP_DARF                                   = 12
WD_TP_DESPESA                                = 22
WD_TP_DESTINACAO_RECEITA                     = 77
WD_TP_DETA_FONTE                             = 10
WD_TP_DOCUMENTO                              = 38
WD_TP_DOCUMENTO_FINANCEIRO_TV                = 29
WD_TP_DOC_CCOR                               = 207
WD_TP_DOC_HABIL                              = 41
WD_TP_ENTIDADE                               = 16
WD_TP_ENTRADA_DADOS_LIFA_OB                  = 5
WD_TP_GARANTIA_DIEX                          = 12
WD_TP_GRU                                    = 8
WD_TP_INSTRUMENTO_LEGAL_ND                   = 11
WD_TP_ND                                     = 8
WD_TP_NE                                     = 6
WD_TP_NS                                     = 12
WD_TP_OB                                     = 52
WD_TP_PAGAMENTO_OB                           = 5
WD_TP_PI                                     = 11
WD_TP_RA                                     = 9
WD_TP_RECEITA                                = 8
WD_TP_RECOLHEDOR_RECEITA                     = 6
WD_TP_RELACIONAMENTO_ORGAO                   = 7
WD_TP_SITUACAO_ICC                           = 19
WD_TP_TV                                     = 12
WD_TP_UNIDADE_SIORG                          = 6
WD_TP_UTILIZACAO_EVENTO                      = 11
WD_TP_VALOR_RA                               = 9
WD_TV                                        = 870.279
WD_UF                                        = 37
